                  ,                                                                                                   ,     ,         ,                                        ,         , 2026 Update    ,        , 0.03
                  ,                                                                                                   ,     ,         ,                                        ,         , Revised Pricing,        , 
                  ,                                                                                                   ,     ,         ,                                        ,         , Install        , Remove , Transfer
AMI-BATBKP        , "AMI,Silver Springs, Battery Backup"                                                              , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
AMI-BATBKP-CBL    , "AMI,Silver Springs, Battery Backup Cable"                                                        , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
AMI-CBL           , "AMI, Power cable"                                                                                , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
AMI-GC            , "AMI, Gap collector"                                                                              , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 208.58         , 89.39  , 238.37
AMI-MOUNT         , "AMI, Mount Kit"                                                                                  , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
AMI-RADIO         , "AMI,Silver Springs,Control Mounted Radio"                                                        , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
AMI-RELAY         , "AMI,Silver Springs, Relay"                                                                       , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
AMI-ROUTER        , "AMI,TX,Router"                                                                                   , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 208.58         , 89.39  , 238.37
AMI-WM-RADIO      , "AMI,WiMAX, Radio and Antenna"                                                                    , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 0              , 0      , 0
APB               , Animal Proof Cover Bushing                                                                        , EA  , Overhead, AEP TX TCC TX1 Corpus/Laredo/Rio Grande, 01-18-26, 6.67           , 4.45   , 0
